employee_id,employee_name,salary,position,department,hire_date,bonus,overtime_hours,tax_rate,net_pay
255,Bancroft Cajkler,142929.95,Recruiter,Legal,7/19/2019,1560.87,1.73,0.4205,108353.25
256,Kelila Seamarke,34894.53,Financial Analyst,Marketing,3/23/2014,3655.42,1.43,0.1575,128502.25
257,Teddy Gouldbourn,65597.95,Director of Sales,Human Resources,7/30/2009,4807.24,5.4,0.1108,24141.05
258,Falkner Mulhill,128388.59,Physical Therapy Assistant,Legal,9/5/2005,2827.6,5.82,0.1265,42074.37
259,Donalt Sargant,148888.77,Marketing Manager,Services,11/5/2011,678.45,14.9,0.2936,58795.19
260,Ferrell Overshott,41806.0,Sales Associate,Engineering,4/21/2019,2573.46,6.12,0.3766,50577.1
261,Bonnee Castellone,98845.98,Assistant Manager,Accounting,8/22/2022,4664.02,18.75,0.0314,99630.86
262,Dulci Livett,59686.75,Software Consultant,Engineering,8/30/2022,876.21,5.46,0.0778,18991.67
263,Wallis Pietruschka,90906.68,Structural Analysis Engineer,Research and Development,5/7/2004,1675.38,11.88,0.3982,24926.47
264,Melisse Jantot,41876.49,Librarian,Engineering,6/25/2004,971.6,15.9,0.2126,96791.38
265,Eleni Bettanay,75058.92,Health Coach III,Services,6/19/2015,1324.62,11.1,0.3906,26138.58
266,Hedwig Heberden,50895.96,Account Representative II,Product Management,7/9/2015,3014.51,11.47,0.3937,100849.21
267,Ingar Maffucci,70660.09,Programmer Analyst II,Services,6/28/2018,3116.14,0.88,0.3973,108678.82
268,Caye Dore,134747.32,Dental Hygienist,Product Management,7/14/2011,4567.72,5.03,0.1596,52988.83
269,Cosimo Sealy,91133.5,Dental Hygienist,Engineering,8/1/2014,648.39,1.79,0.0495,35614.49
270,Elbert Gilvear,32393.11,Desktop Support Technician,Sales,11/12/2006,444.04,8.71,0.2494,59837.8
271,Farrell Budnk,142248.22,Environmental Tech,Human Resources,9/15/2002,4672.14,7.97,0.3445,131079.89
272,Natasha Smelley,95640.97,Editor,Legal,6/7/2007,2425.92,17.84,0.1108,75680.87
273,Caspar Hurche,87896.94,Registered Nurse,Product Management,5/15/2018,1599.71,1.54,0.2822,63746.15
274,Isadore Cassell,137913.51,Database Administrator II,Marketing,2/1/2021,923.38,7.43,0.3334,57654.01
275,Yetty Braithwaite,73088.96,Environmental Tech,Product Management,4/30/2014,1585.45,16.57,0.4086,117849.69
276,Mady Splevings,71091.72,Cost Accountant,Services,4/23/2006,3281.84,12.9,0.4944,134898.84
277,Kristofer McCloughen,23503.11,Desktop Support Technician,Sales,6/5/2019,3260.4,4.49,0.1254,17446.7
278,Liv Willerstone,65622.05,Assistant Professor,Support,9/7/2003,3951.26,3.07,0.4075,88297.25
279,Lucinda Filippello,136124.95,Software Engineer III,Training,5/15/2016,1953.58,19.58,0.0856,47968.34
280,Etheline Rosenfrucht,74777.61,Sales Associate,Engineering,12/16/2002,4004.34,16.46,0.0038,49314.79
281,Rodge Senecaux,57475.74,Senior Quality Engineer,Research and Development,9/17/2015,3730.12,6.8,0.0876,69164.5
282,Burtie Liptrod,45720.93,Desktop Support Technician,Legal,9/5/2002,1693.97,4.31,0.3455,21660.3
283,Roxana Sachno,48517.6,Information Systems Manager,Human Resources,6/21/2016,2335.01,4.3,0.1425,69499.46
284,Gaston McFie,21252.03,Pharmacist,Marketing,2/10/2004,1827.56,3.76,0.2896,18899.28
285,Conney Strapp,138817.67,Junior Executive,Research and Development,9/12/2011,2031.1,0.26,0.0916,134419.88
286,Gare Antonognoli,121704.51,Database Administrator IV,Training,4/28/2009,45.15,18.34,0.0816,115349.33
287,Sargent Bargery,75342.44,Senior Sales Associate,Sales,6/19/2012,3969.65,19.49,0.4003,102583.13
288,Gianina Pizer,106671.93,Sales Representative,Research and Development,12/23/2016,1290.07,2.68,0.4759,57377.1
289,Arri Roth,82262.24,Sales Representative,Human Resources,6/10/2015,3844.21,9.99,0.1324,60495.91
290,Faina Affleck,132482.94,Geologist IV,Support,1/10/2011,1379.76,18.54,0.0353,85929.88
291,Suki Isaacson,145033.57,Senior Financial Analyst,Accounting,1/20/2013,2533.97,7.06,0.2979,15139.96
292,Moreen Fauguel,74798.18,Programmer II,Accounting,9/5/2020,2948.1,10.54,0.1205,99268.1
293,Donia McCloch,132831.14,Administrative Officer,Legal,3/26/2000,3275.63,19.02,0.4332,139630.28
294,Marlane Litel,57330.57,Research Associate,Training,10/1/2009,2761.02,16.66,0.4959,57089.57
295,Conchita Mitchiner,137880.04,VP Accounting,Research and Development,10/9/2014,4706.75,16.54,0.2559,28164.41
296,Malissia Brokenshire,132693.46,Clinical Specialist,Legal,10/28/2001,4384.99,8.24,0.2269,44292.97
297,Kellia Varcoe,110791.45,Food Chemist,Research and Development,6/1/2010,2082.19,0.58,0.0963,69214.25
298,Dolli Smeath,94946.35,Professor,Engineering,7/31/2007,3144.4,9.04,0.0079,48792.77
299,Lisette Danis,89272.89,Tax Accountant,Human Resources,9/29/2018,2073.0,10.4,0.4643,110083.36
300,Elmer Riditch,142648.26,Nurse,Support,6/22/2021,3071.12,13.76,0.1189,34613.99
301,Joan Dominighi,69597.71,Marketing Manager,Research and Development,12/29/2021,4937.84,5.76,0.1126,35362.67
302,Antoine Lancetter,85188.26,Teacher,Accounting,3/27/2003,2815.3,4.15,0.3304,101422.33
303,Gianni Poll,46065.16,Environmental Specialist,Training,3/4/2021,1276.9,9.12,0.2261,15110.17
304,Storm Edmonston,25938.14,Nuclear Power Engineer,Sales,2/3/2003,2062.79,18.14,0.3283,90506.91
305,Selie Hayball,133227.39,Account Representative IV,Human Resources,5/13/2018,811.04,0.97,0.4129,31194.12
306,Catherina Hussey,83233.31,Database Administrator III,Training,8/31/2020,1505.51,6.91,0.4507,139290.97
307,Douglas O'Gavin,99856.42,Paralegal,Human Resources,7/10/2002,4280.74,0.91,0.1293,47635.67
308,Oona Coo,32601.14,Computer Systems Analyst I,Sales,1/4/2008,2619.26,17.3,0.0784,42121.42
309,Herman Lawlie,72339.85,Environmental Tech,Business Development,9/25/2000,25.2,12.41,0.0878,136294.06
310,Rosemaria Magill,44703.31,Developer II,Legal,1/4/2005,2220.52,2.76,0.2941,109576.07
311,Guenevere Willcott,43649.32,Web Developer I,Sales,2/3/2012,2429.56,1.48,0.4114,19588.16
312,Melonie Galgey,126713.99,Help Desk Operator,Services,1/9/2014,3144.48,0.91,0.3143,66019.58
313,Franklyn Piatto,135036.47,General Manager,Marketing,7/31/2014,4883.96,19.07,0.2641,49974.18
314,Luca Emson,20905.56,Media Manager III,Human Resources,6/3/2016,171.85,13.69,0.2564,132372.65
315,Hilario Wasielewicz,121194.88,Director of Sales,Services,8/7/2011,2795.21,11.0,0.1465,48224.69
316,Joella Kaminski,95045.08,Technical Writer,Sales,12/13/2022,2003.9,11.34,0.1136,56288.01
317,Peg Rickell,53442.43,Cost Accountant,Sales,5/6/2021,3742.71,18.74,0.2051,63185.1
318,Lily Stickney,51917.22,Quality Control Specialist,Training,4/27/2016,3959.6,5.76,0.2909,125543.64
319,Layton Smy,149209.67,Computer Systems Analyst II,Support,10/7/2016,983.61,12.64,0.4098,32897.67
320,Dottie Soppitt,41817.35,Account Executive,Research and Development,2/21/2004,1595.89,9.36,0.0154,47580.22
321,Mendel Christopher,88150.63,Junior Executive,Sales,8/9/2003,4009.94,3.75,0.3316,21513.38
322,Reade Doubrava,28685.39,Media Manager III,Legal,9/11/2017,2213.76,0.71,0.2357,16697.72
323,Waverley O'Keeffe,59757.14,Research Nurse,Product Management,6/17/2003,1925.69,12.49,0.413,59857.46
324,Gan Fergyson,140372.1,Help Desk Technician,Legal,9/9/2011,827.84,19.56,0.0576,50813.37
325,Inna Prudence,20585.39,Staff Scientist,Human Resources,1/22/2021,3360.32,11.4,0.1626,52848.43
326,Annmaria Cecil,111628.54,Teacher,Marketing,4/26/2004,1144.54,3.67,0.1649,124186.47
327,Vivia Toseland,97306.57,Biostatistician III,Product Management,3/20/2021,1157.37,19.28,0.2257,110727.12
328,Gabriel Vanyarkin,82415.93,VP Marketing,Support,4/2/2002,2837.99,10.79,0.1894,103440.25
329,Carina Wetherald,32475.59,Professor,Accounting,6/19/2017,4740.69,18.69,0.3587,80938.6
330,Hugibert Thal,145548.12,Librarian,Legal,7/20/2003,1045.21,5.09,0.3516,70549.78
331,Johanna Goburn,81748.76,Recruiting Manager,Training,6/10/2018,2817.08,17.04,0.0607,124173.59
332,Electra Klee,71385.35,Cost Accountant,Marketing,12/18/2000,4517.39,2.53,0.142,49537.76
333,Farah Lorenzetto,71946.86,Biostatistician IV,Engineering,9/11/2021,1127.73,17.91,0.2638,86176.8
334,Kelly Phin,135946.79,Structural Engineer,Product Management,9/11/2002,4048.11,17.28,0.207,114095.42
335,Franny Rolston,135838.47,Database Administrator II,Sales,7/18/2002,2549.46,11.37,0.3831,105567.78
336,Prescott Leyninye,34332.63,Software Consultant,Services,3/21/2014,4567.95,4.13,0.2794,23565.04
337,Dannie Humfrey,147467.45,Assistant Media Planner,Research and Development,9/4/2001,1645.74,14.53,0.0601,80324.6
338,Nettie Laugherane,49060.09,Chief Design Engineer,Sales,3/3/2008,3890.38,1.04,0.2781,62269.59
339,Lotti Jurgenson,71753.47,Software Test Engineer I,Marketing,5/21/2017,3962.62,17.75,0.4195,70576.5
340,Kimberley Volks,122870.39,Professor,Product Management,6/15/2004,2680.14,1.21,0.3437,53229.0
341,Moore McCrisken,70843.7,Analog Circuit Design manager,Human Resources,4/10/2005,429.66,4.82,0.4919,32102.66
342,Cybil Walbridge,54430.37,Chief Design Engineer,Product Management,6/15/2001,4987.57,11.21,0.104,89779.25
343,Tades Carne,41988.81,Physical Therapy Assistant,Support,7/20/2017,4091.57,4.3,0.4558,71835.3
344,Stormi Shellum,131700.29,Computer Systems Analyst II,Research and Development,10/31/2008,3882.08,8.21,0.4641,59005.81
345,Thia Bengal,140329.18,Geological Engineer,Accounting,10/10/2015,85.03,3.77,0.128,112926.87
346,Agathe McIlhone,141035.72,Software Test Engineer II,Accounting,11/5/2012,3990.85,18.29,0.4564,29797.93
347,Thain Spillard,107940.01,Associate Professor,Accounting,1/8/2016,2736.52,15.48,0.0026,88902.74
348,Ginevra Lakin,141654.09,Biostatistician III,Support,8/9/2010,3203.37,3.5,0.1786,40186.39
349,Maegan Woodward,138824.53,VP Quality Control,Product Management,6/28/2018,4579.97,12.43,0.1236,44787.9
350,Herschel Kaindl,82587.63,Internal Auditor,Marketing,8/30/2010,1385.4,0.95,0.4964,132424.87
351,Bentley Cadden,63136.57,VP Marketing,Marketing,2/7/2009,2741.39,14.04,0.4248,59338.47
352,Franz Prowting,74827.07,General Manager,Training,12/27/2020,3865.72,0.97,0.0182,129247.08
353,Celinka Flanagan,45131.46,Developer I,Legal,12/1/2017,956.85,18.27,0.282,108896.76
354,Loralee MacKenzie,142423.09,Statistician III,Engineering,12/24/2005,3732.51,18.26,0.302,53281.29
355,Vallie Lintin,44896.12,Business Systems Development Analyst,Business Development,2/18/2000,287.48,8.8,0.4592,129021.53
356,Marci Dubble,64521.18,Civil Engineer,Business Development,10/24/2011,1957.74,1.38,0.2133,68472.5
357,Bradley Cesconi,87358.19,Accountant IV,Services,3/15/2016,3239.53,3.56,0.1375,17496.82
358,Janeta Albers,113217.46,VP Sales,Support,3/12/2003,3634.5,8.69,0.0584,26775.59
359,Joe Tocknell,33358.09,Staff Scientist,Marketing,4/24/2015,3435.38,11.31,0.0413,45725.16
360,Torey Teideman,68279.69,Accounting Assistant II,Services,10/5/2012,3093.17,12.39,0.2992,125304.15
361,Caty Grossier,37045.83,Teacher,Research and Development,6/13/2001,4907.42,1.56,0.0376,31425.52
362,Leola Rattenberie,77504.02,Health Coach III,Human Resources,5/23/2010,3383.38,13.61,0.1794,72473.48
363,Doralynn Islep,131253.91,Quality Engineer,Human Resources,1/24/2010,751.71,10.81,0.2973,16278.59
364,Pablo Chick,80776.12,Senior Developer,Marketing,7/21/2022,2141.58,12.38,0.4662,25210.57
365,Nert Gauchier,91391.87,Senior Quality Engineer,Legal,8/13/2019,2963.4,17.41,0.0617,69044.8
366,Poul Hutcheson,98268.68,Paralegal,Engineering,1/19/2009,4609.41,7.18,0.0754,98401.09
367,Early Whittier,63866.44,Human Resources Manager,Human Resources,5/13/2010,4020.35,10.66,0.2402,95942.92
368,Burr Willarton,68723.19,Pharmacist,Accounting,2/8/2006,949.32,14.52,0.2562,51664.55
369,Noami Proudley,131354.44,Help Desk Operator,Legal,12/22/2007,4813.1,12.71,0.265,97674.47
370,Wanids Riddel,143927.85,Assistant Professor,Sales,5/25/2014,2020.51,9.2,0.0113,62871.95
371,Zak Clarage,51540.76,Help Desk Technician,Accounting,8/9/2006,4445.14,18.97,0.386,136979.76
372,Monika Broddle,53332.62,Structural Analysis Engineer,Human Resources,9/19/2017,1703.42,9.23,0.3227,31328.77
373,Noll Madge,84123.14,Software Engineer I,Services,3/30/2018,3114.91,7.71,0.2617,42372.17
374,Nels Kinsley,64873.68,Senior Sales Associate,Product Management,8/24/2022,4086.6,17.7,0.4488,82728.34
375,Annissa Miall,138698.55,Statistician II,Support,9/14/2005,553.05,12.12,0.1589,77641.65
376,Konstance Oldford,58303.5,VP Accounting,Human Resources,5/27/2002,3261.4,8.29,0.172,104004.45
377,Kalina Caswall,31627.66,Biostatistician II,Sales,9/25/2003,2039.79,15.0,0.0117,102181.02
378,Analiese Rylstone,110750.65,Operator,Training,9/14/2012,4634.16,9.86,0.1288,78115.28
379,Brendin Ibell,68583.21,Analog Circuit Design manager,Training,12/29/2012,2906.67,7.73,0.2829,131901.85
380,Corena Grennan,75817.92,Chemical Engineer,Product Management,9/6/2002,1004.59,9.22,0.2574,131780.75
381,Aharon Normanville,121616.58,Quality Engineer,Training,10/16/2002,2046.19,0.96,0.2479,66400.64
382,Christalle Duchart,45313.06,Recruiter,Training,10/21/2008,1801.59,7.82,0.0408,119194.22
383,Jacinda MacKilroe,122104.79,Software Test Engineer IV,Support,7/1/2000,4904.36,18.84,0.0018,95771.25
384,Erasmus Gandrich,37376.99,Chemical Engineer,Research and Development,4/25/2010,430.73,5.51,0.386,123062.64
385,Preston Milazzo,143400.74,Media Manager IV,Services,3/20/2018,4414.87,15.89,0.2994,138916.57
386,Mariellen Franca,63480.72,Legal Assistant,Support,10/14/2005,1249.44,18.23,0.3935,87246.42
387,Audie Boarleyson,115560.94,Junior Executive,Sales,12/10/2019,4310.17,2.44,0.3333,95106.6
388,Joshia Lintin,26152.0,Technical Writer,Research and Development,3/11/2000,686.97,0.65,0.4854,129445.07
389,Arther Yakobowitch,125379.09,Human Resources Assistant III,Engineering,3/23/2016,4810.19,2.28,0.0579,63519.74
390,Remington Woodhouse,111087.53,VP Marketing,Support,9/24/2013,1554.67,9.72,0.1137,100209.99
391,Arthur Sturch,94856.54,Nuclear Power Engineer,Sales,1/22/2014,1061.19,6.72,0.1788,42934.27
392,Elvina Lestrange,130548.76,Senior Quality Engineer,Training,4/30/2001,2717.68,17.93,0.1664,91851.85
393,Claudius Antonoyev,37570.51,Occupational Therapist,Support,3/7/2011,4941.64,7.52,0.4146,22983.31
394,Ardis Tuck,83338.53,VP Product Management,Product Management,10/7/2015,1906.4,18.03,0.3532,120810.81
395,Adena Friary,74124.85,Recruiter,Support,9/18/2022,3613.88,5.91,0.3122,41724.7
396,Yvon Wellen,86658.95,Help Desk Technician,Accounting,9/13/2021,1858.55,8.68,0.0158,116036.89
397,Lurleen Halegarth,54552.38,Civil Engineer,Legal,11/12/2012,3727.0,17.85,0.4128,53912.3
398,Trevor Everett,104724.09,Quality Control Specialist,Services,12/13/2008,4982.95,10.26,0.227,134405.01
399,Garth Swatton,133714.99,Compensation Analyst,Business Development,8/8/2001,3926.2,5.71,0.0552,88121.18
400,Guillema Bircher,55675.34,Food Chemist,Research and Development,3/23/2001,981.81,7.06,0.1067,79425.2
401,Lydia Cocci,37953.11,Editor,Support,11/6/2002,1500.58,4.36,0.2607,52082.85
402,Priscilla Fewless,66943.88,Accountant I,Training,1/26/2012,1562.54,13.83,0.458,109777.82
403,Sofia Moppett,33876.58,Health Coach IV,Business Development,12/22/2006,543.48,5.8,0.1737,88445.66
404,Fiorenze Boggers,125220.05,Analog Circuit Design manager,Sales,5/27/2013,4667.29,0.95,0.2186,43644.31
405,Malena Thireau,96579.32,Mechanical Systems Engineer,Training,2/20/2016,3017.29,7.29,0.4316,78506.59
406,Phineas Gallally,136538.21,Graphic Designer,Training,6/29/2007,255.22,5.64,0.158,42727.28
407,Ravid Gibbonson,74921.93,VP Accounting,Product Management,5/1/2007,2937.31,17.72,0.2808,47757.43
408,Patsy Sommers,133619.17,Tax Accountant,Legal,4/30/2009,2956.91,11.34,0.461,59121.92
409,Elden GiacobbiniJacob,38089.35,Business Systems Development Analyst,Product Management,5/6/2019,4051.02,14.41,0.09,84042.52
410,Carver Skirrow,28575.96,Product Engineer,Human Resources,3/24/2001,613.29,16.43,0.2202,107829.97
411,Yance Sleite,79570.13,Computer Systems Analyst III,Services,1/22/2016,3637.64,10.18,0.085,94274.19
412,Shermie Antonsen,97637.03,Project Manager,Services,5/26/2015,3213.52,7.94,0.4962,105720.25
413,Thomasa Subhan,93829.11,Compensation Analyst,Training,4/23/2000,3628.25,16.71,0.2133,91345.1
414,Tasia Bedborough,107857.09,Compensation Analyst,Support,9/3/2020,1277.34,10.18,0.156,40003.55
415,Valentijn Humpatch,59198.16,Software Test Engineer I,Training,10/26/2002,1481.58,4.82,0.4647,16454.43
416,Junie Patnelli,115358.99,Budget/Accounting Analyst I,Engineering,7/31/2000,4179.73,3.75,0.4909,128229.38
417,Gunar Twigge,128170.95,Software Engineer III,Legal,8/24/2007,542.15,2.63,0.1137,125898.91
418,Libbey Pauli,91905.82,VP Marketing,Support,11/5/2022,4586.25,18.76,0.1254,98924.02
419,Remus Fairhead,45806.75,Internal Auditor,Human Resources,8/1/2002,2176.65,1.1,0.3744,113981.21
420,Kameko Andrault,112047.95,Senior Developer,Legal,4/16/2018,680.28,13.55,0.0634,29741.53
421,Martino Lanfranchi,99965.06,Office Assistant I,Accounting,10/8/2013,3038.36,3.74,0.1687,102075.36
422,Cam Bussy,84321.47,Paralegal,Support,6/24/2014,4229.3,15.98,0.154,62742.74
423,Gardie Sowman,67138.41,Professor,Legal,6/7/2021,497.89,10.0,0.0509,53581.59
424,Ddene Pavlenkov,132636.59,Recruiting Manager,Sales,8/9/2007,252.32,17.02,0.0317,134532.22
425,Tiena Cadge,26998.43,Web Designer II,Engineering,2/16/2021,2101.22,19.14,0.3399,128485.38
426,Barton Jaskowicz,89094.58,Recruiting Manager,Engineering,6/20/2005,2869.11,8.78,0.0325,55689.09
427,Norma Rodway,68627.93,Staff Scientist,Support,11/24/2022,1537.51,3.01,0.2687,68607.58
428,Gasper Larkworthy,25927.86,Quality Control Specialist,Support,5/21/2015,1767.55,7.21,0.362,35459.63
429,Dermot Ivannikov,60317.96,Web Designer I,Product Management,7/12/2002,2706.02,4.28,0.095,115558.73
430,Pierre Phibb,31655.0,Web Developer III,Training,1/23/2012,3037.53,11.64,0.1009,113215.63
431,Tad Treweela,72656.18,Marketing Assistant,Accounting,6/20/2004,1164.23,10.17,0.4968,109417.63
432,Lamond Hart,149460.56,Recruiter,Accounting,1/19/2018,50.32,6.4,0.0803,58656.11
433,Florian Escalante,24239.98,Account Coordinator,Engineering,12/3/2008,65.29,3.49,0.3573,55901.78
434,Holly-anne Caseri,49369.14,Nurse,Support,8/9/2012,1352.87,10.39,0.3793,97878.77
435,Darrell Syred,25740.03,Developer II,Business Development,9/5/2013,823.54,1.42,0.2667,133603.57
436,Eziechiele Trinbey,145443.05,Financial Analyst,Legal,10/28/2003,1107.99,12.06,0.1847,81785.13
437,Stewart Thurlow,35725.8,Software Test Engineer II,Marketing,10/29/2008,2920.29,3.96,0.4467,73690.44
438,Leonanie Dooley,94014.56,Systems Administrator I,Marketing,9/30/2018,4126.95,14.0,0.2865,59759.55
439,Viv Bunch,28362.34,Legal Assistant,Engineering,6/6/2012,3832.1,14.73,0.4434,89476.95
440,Thomasine Richardson,60619.76,Associate Professor,Accounting,2/19/2015,4002.39,19.95,0.2009,91297.01
441,Allistir Davitashvili,34776.47,Physical Therapy Assistant,Services,12/6/2003,2793.18,11.0,0.0938,97794.51
442,Baily Hardinge,129787.36,Civil Engineer,Sales,9/22/2000,135.69,18.54,0.3572,94054.4
443,Kerby Marmon,108313.32,Help Desk Operator,Sales,8/21/2018,3810.28,3.59,0.0883,133051.35
444,Bendicty Twyford,59863.12,Cost Accountant,Research and Development,9/18/2000,3598.11,17.44,0.0573,120518.34
445,Jocelyn Leeson,139947.25,Teacher,Business Development,10/13/2005,4708.87,15.14,0.3709,101615.31
446,Jude Wade,52129.01,Research Assistant IV,Product Management,11/15/2002,2994.96,14.19,0.1988,32295.92
447,Alanson Simmons,114138.34,Engineer IV,Marketing,12/16/2006,4930.81,6.36,0.1049,104888.81
448,Bernadette Litchmore,102689.37,Sales Associate,Training,6/14/2004,3851.4,6.42,0.1323,75995.62
449,Joyous Gascoyne,131993.3,Clinical Specialist,Services,10/22/2007,3486.9,4.49,0.4503,120195.04
450,Fedora McComiskie,146664.48,Senior Editor,Product Management,7/10/2001,753.4,17.76,0.0959,60306.11
451,Stearne Fairfoot,70515.55,Editor,Support,2/21/2008,4045.46,2.77,0.3195,107616.17
452,Ginger Daubney,54301.43,Operator,Services,7/24/2001,4905.51,13.14,0.2127,67963.93
453,Betsy Bentzen,64375.13,Physical Therapy Assistant,Training,7/6/2003,3494.38,5.95,0.4113,78465.61
454,Titus Crossman,47892.92,Software Engineer II,Training,9/5/2014,440.03,12.19,0.1207,124790.43
455,Anders Treneer,60963.3,Assistant Professor,Research and Development,6/7/2007,254.58,9.1,0.2355,30666.57
456,Buddie Bernaldo,106999.04,Accountant IV,Engineering,12/4/2000,2773.93,6.12,0.2251,126767.46
457,Tod Brunner,48780.86,Chemical Engineer,Support,6/8/2018,4162.79,18.07,0.1945,50906.36
458,Warren Skewes,138592.48,Assistant Media Planner,Support,4/20/2000,3753.24,15.54,0.2551,101144.64
459,Beale Harewood,106386.77,Marketing Assistant,Services,7/23/2021,1196.67,6.35,0.3096,56078.12
460,Agatha Yateman,101731.97,Recruiting Manager,Marketing,7/31/2008,2213.79,0.63,0.4344,39896.13
461,Korney Kingscott,106723.53,Occupational Therapist,Product Management,11/19/2002,970.53,18.3,0.1045,131903.28
462,Lowrance Levee,66409.45,Engineer IV,Training,5/25/2008,2337.23,14.76,0.4676,113571.11
463,Bethanne Nerger,73663.0,Engineer III,Training,12/27/2015,901.23,3.64,0.2565,15354.42
464,Joanie Baumer,21626.35,Pharmacist,Product Management,12/6/2016,4536.87,6.51,0.0304,48288.52
465,Lynde Mardoll,137530.98,Senior Quality Engineer,Marketing,6/22/2022,1230.63,7.04,0.1544,38844.37
466,Freida Bagenal,67379.17,Nurse,Engineering,5/8/2003,4478.14,16.44,0.3108,120518.44
467,Jaynell McAnalley,115109.61,Programmer III,Human Resources,3/28/2000,3094.7,2.03,0.094,110755.73
468,Eddi Debell,104890.6,Graphic Designer,Business Development,3/30/2001,887.88,4.8,0.1751,39188.94
469,Dorian Eidelman,99737.95,Nurse,Legal,10/16/2017,393.11,5.85,0.3934,44520.76
470,Warde Glasby,93015.8,Systems Administrator I,Support,8/7/2001,4017.75,4.99,0.069,118403.86
471,Ikey Blais,144601.17,Social Worker,Human Resources,10/14/2018,1557.59,16.98,0.049,50202.96
472,Hilary MacDonough,74020.57,Database Administrator III,Support,1/19/2004,3741.39,6.92,0.016,43920.91
473,Leonore McGibbon,133496.68,Systems Administrator III,Product Management,9/23/2019,832.25,16.57,0.1453,132072.66
474,Valaree Ramsbotham,104120.26,Clinical Specialist,Marketing,7/8/2001,976.39,9.55,0.2449,139843.46
475,Nerta Aasaf,34762.78,Civil Engineer,Research and Development,4/9/2022,1580.82,1.2,0.0315,93552.85
476,Esme Dugan,113403.91,Civil Engineer,Research and Development,4/10/2008,3999.76,2.22,0.4128,89032.93
477,Viviyan Firmage,41535.75,Speech Pathologist,Marketing,9/28/2014,4483.75,11.31,0.3889,29988.54
478,Hamel Pountain,49273.11,Structural Analysis Engineer,Business Development,4/25/2009,2016.11,1.56,0.3744,26147.46
479,Vivianne Lurcock,81927.28,Geologist III,Business Development,8/14/2021,3423.0,18.01,0.0601,25304.12
480,Bradly Freeland,101492.87,VP Marketing,Product Management,8/28/2017,3041.43,15.72,0.4733,68336.88
481,Mureil Ventom,70778.83,Financial Analyst,Research and Development,8/19/2020,1130.68,5.86,0.4615,103024.47
482,Erica Fishburn,53873.82,Staff Accountant II,Product Management,2/14/2021,548.89,10.47,0.2681,118063.51
483,Gretal Hoyles,36784.86,Safety Technician III,Business Development,4/12/2002,2993.76,10.75,0.2526,38530.92
484,Trina Rozanski,136827.76,Electrical Engineer,Services,1/29/2013,619.75,8.08,0.216,80580.5
485,Blinni Potten,89799.39,Technical Writer,Product Management,5/27/2017,835.58,0.56,0.0353,65211.49
486,Yovonnda Sussex,89944.82,Speech Pathologist,Engineering,8/29/2005,702.9,1.92,0.4899,117050.36
487,Juditha Safhill,93308.35,Registered Nurse,Human Resources,9/24/2002,4693.72,11.95,0.2076,49778.89
488,Darleen Allport,77058.46,Social Worker,Support,7/18/2018,64.3,18.18,0.4215,97397.2
489,Chrysler Ridges,26795.82,Statistician III,Business Development,6/19/2021,4988.44,17.05,0.0695,54927.04
490,Alyda MacEllen,140391.64,Analyst Programmer,Research and Development,7/1/2014,3690.94,17.08,0.4673,59307.84
491,Gaven MacCulloch,124962.63,Senior Editor,Business Development,10/21/2017,683.23,12.0,0.3599,33368.5
492,Wiley Cowerd,140861.3,Marketing Assistant,Engineering,1/2/2017,203.14,13.58,0.0867,135587.38
493,Darnall Dickon,25320.47,Help Desk Technician,Human Resources,2/2/2005,4633.5,4.2,0.3181,97719.59
494,Vera Peteri,53619.35,Nurse Practicioner,Marketing,9/9/2010,4796.01,19.4,0.4759,129193.76
495,Aland Pargiter,148030.17,Media Manager II,Marketing,8/17/2018,2185.4,10.84,0.405,130889.08
496,Quinta Baynon,91764.91,Web Developer I,Human Resources,8/31/2004,4739.93,1.19,0.354,32679.55
497,Kanya Brombell,63201.15,Compensation Analyst,Marketing,2/16/2019,2932.01,0.59,0.3986,82495.42
498,Susannah Jerwood,69975.37,Engineer I,Accounting,4/15/2013,470.97,5.28,0.1972,113363.3
499,Jenni Terzza,115152.82,Computer Systems Analyst IV,Product Management,12/20/2007,496.64,6.92,0.0797,45279.98
500,Fan Vigours,88105.63,General Manager,Sales,5/25/2018,4618.91,10.44,0.0234,39552.74
501,Andrej Topham,111042.59,Environmental Specialist,Legal,4/7/2003,4348.85,18.88,0.4137,121332.18
502,Davide Basso,76773.32,Programmer Analyst III,Accounting,1/7/2014,1463.5,4.42,0.4477,25651.33
503,Lira Rumble,27384.18,Project Manager,Support,5/19/2016,4740.02,9.57,0.369,48611.25
504,Chet Bettridge,142777.57,VP Marketing,Business Development,10/30/2017,1285.0,4.03,0.4752,28829.37
505,Nedi Arkcoll,142491.43,Mechanical Systems Engineer,Support,6/24/2000,272.73,14.91,0.0511,37879.36
506,Lorine Roch,142087.86,VP Accounting,Services,5/11/2007,4838.33,10.99,0.4228,73910.58
507,Cash O'Farris,95658.36,Software Test Engineer II,Business Development,5/21/2019,3689.5,5.08,0.2417,98678.7
508,Hedwig Roch,122932.68,Marketing Manager,Training,4/12/2000,3171.77,16.88,0.4932,23254.09
509,Spenser McKechnie,63675.45,Sales Associate,Research and Development,10/4/2005,552.65,2.59,0.4647,137239.13
510,Thor Marc,22584.3,Data Coordinator,Marketing,7/6/2002,3479.24,3.29,0.3953,56276.01
