id,first_name,last_name,email,gender,creditcard_number,patient_id,patient_name,age,diagnosis_code,diagnosis_description,procedure_code,procedure_description,admission_date,discharge_date,total_cost
281,Theadora,Conklin,tconklin7s@about.me,Female,5100178834039333,281,Theadora Conklin,92,S82134B,"Nondisplaced fracture of medial condyle of right tibia, initial encounter for open fracture type I or II",05U14JZ,"Supplement Hemiazygos Vein with Synthetic Substitute, Percutaneous Endoscopic Approach",10/7/2021,6/22/2022,Rupiah
282,Kellia,Newall,knewall7t@answers.com,Female,5413059044774277,282,Kellia Newall,98,T38892D,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, subsequent encounter",0DUH77Z,"Supplement Cecum with Autologous Tissue Substitute, Via Natural or Artificial Opening",5/12/2020,6/3/2021,Peso
283,Agnese,Bethune,abethune7u@reverbnation.com,Female,3580347718031096,283,Agnese Bethune,120,M21072,"Valgus deformity, not elsewhere classified, left ankle",037K356,"Dilation of Right Internal Carotid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",6/23/2022,9/3/2022,Sol
284,Warner,Thal,wthal7v@1und1.de,Male,3582139702694718,284,Warner Thal,60,S3681,Injury of peritoneum,0X9C4ZX,"Drainage of Left Elbow Region, Percutaneous Endoscopic Approach, Diagnostic",11/9/2020,3/20/2021,Dollar
285,Gavin,Seven,gseven7w@usatoday.com,Male,4026624139566300,285,Gavin Seven,37,S139XXD,"Sprain of joints and ligaments of unspecified parts of neck, subsequent encounter",03L90DZ,"Occlusion of Right Ulnar Artery with Intraluminal Device, Open Approach",2/16/2021,3/24/2020,Rupiah
286,Keenan,McHale,kmchale7x@google.pl,Male,3542401698270385,286,Keenan McHale,23,S99201P,"Unspecified physeal fracture of phalanx of right toe, subsequent encounter for fracture with malunion",06U14KZ,"Supplement Splenic Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",6/1/2020,3/12/2021,Zloty
287,Raymund,Leasor,rleasor7y@a8.net,Male,3552023175247939,287,Raymund Leasor,63,H10219,"Acute toxic conjunctivitis, unspecified eye",02134AC,"Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",4/12/2020,10/8/2022,Rupiah
288,Earle,Sebright,esebright7z@arstechnica.com,Male,6767213086376844,288,Earle Sebright,6,W261XXS,"Contact with sword or dagger, sequela",0DV63DZ,"Restriction of Stomach with Intraluminal Device, Percutaneous Approach",9/3/2020,6/9/2022,Peso
289,Joletta,Vanichkin,jvanichkin80@dailymotion.com,Female,3534326942926864,289,Joletta Vanichkin,17,W16821,Jumping or diving into other water striking bottom causing drowning and submersion,0VP803Z,"Removal of Infusion Device from Scrotum and Tunica Vaginalis, Open Approach",9/22/2022,6/13/2022,Yuan Renminbi
290,Evyn,Eloy,eeloy81@vinaora.com,Male,3560446343985694,290,Evyn Eloy,31,T84223S,"Displacement of internal fixation device of bones of foot and toes, sequela",BP09ZZZ,Plain Radiography of Left Shoulder,4/7/2021,6/12/2021,Yuan Renminbi
291,Daryle,Burrells,dburrells82@joomla.org,Male,6761024590648040,291,Daryle Burrells,68,M67864,"Other specified disorders of tendon, left knee",0CUN3JZ,"Supplement Uvula with Synthetic Substitute, Percutaneous Approach",11/10/2020,9/1/2021,Yuan Renminbi
292,Corri,Simoneschi,csimoneschi83@deviantart.com,Female,374283903598589,292,Corri Simoneschi,55,S46801S,"Unspecified injury of other muscles, fascia and tendons at shoulder and upper arm level, right arm, sequela",0SWJ37Z,"Revision of Autologous Tissue Substitute in Left Tarsal Joint, Percutaneous Approach",1/20/2022,6/5/2020,Yuan Renminbi
293,Natty,Patriskson,npatriskson84@technorati.com,Male,5487359140159402,293,Natty Patriskson,55,S93609A,"Unspecified sprain of unspecified foot, initial encounter",0D720ZZ,"Dilation of Middle Esophagus, Open Approach",9/12/2022,8/2/2022,Ruble
294,Rriocard,Hylden,rhylden85@hubpages.com,Male,30332217879999,294,Rriocard Hylden,70,S43112,Subluxation of left acromioclavicular joint,0JU80JZ,"Supplement of Abdomen Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach",7/27/2022,2/22/2022,Euro
295,Cherish,Mingardi,cmingardi86@blogspot.com,Female,490572076725060223,295,Cherish Mingardi,17,S56495D,"Other injury of extensor muscle, fascia and tendon of right ring finger at forearm level, subsequent encounter",0C5NXZZ,"Destruction of Uvula, External Approach",9/4/2020,7/16/2021,Balboa
296,Toddie,Sparks,tsparks87@sfgate.com,Male,201542621042769,296,Toddie Sparks,38,T513X4A,"Toxic effect of fusel oil, undetermined, initial encounter",02134AC,"Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",2/6/2022,3/27/2022,Yuan Renminbi
297,Dorena,Carlin,dcarlin88@gnu.org,Female,3552440215523741,297,Dorena Carlin,94,R27,Other lack of coordination,0M813ZZ,"Division of Right Shoulder Bursa and Ligament, Percutaneous Approach",12/9/2021,8/30/2020,Krona
298,Georgiana,Elsmore,gelsmore89@simplemachines.org,Female,3549837416128962,298,Georgiana Elsmore,96,T8586,"Thrombosis due to internal prosthetic devices, implants and grafts, not elsewhere classified",2W0PX1Z,Change Splint on Left Upper Leg,10/24/2021,4/13/2021,Peso
299,Felicio,FitzGilbert,ffitzgilbert8a@hp.com,Male,3580170335764075,299,Felicio FitzGilbert,95,S63329,Traumatic rupture of unspecified radiocarpal ligament,0RN13ZZ,"Release Cervical Vertebral Joint, Percutaneous Approach",9/23/2020,8/19/2020,Lek
300,Sonya,Marion,smarion8b@boston.com,Female,3537841838056136,300,Sonya Marion,67,S71041A,"Puncture wound with foreign body, right hip, initial encounter",081Y3J3,"Bypass Left Lacrimal Duct to Nasal Cavity with Synthetic Substitute, Percutaneous Approach",11/8/2022,3/29/2020,Euro
301,Robers,Isaak,risaak8c@nationalgeographic.com,Bigender,5010127669820134,301,Robers Isaak,109,D0502,Lobular carcinoma in situ of left breast,07N10ZZ,"Release Right Neck Lymphatic, Open Approach",1/8/2021,6/19/2022,Rupiah
302,Elladine,Cremin,ecremin8d@imageshack.us,Female,4041379406244500,302,Elladine Cremin,58,S90862,"Insect bite (nonvenomous), left foot",0UPD3KZ,"Removal of Nonautologous Tissue Substitute from Uterus and Cervix, Percutaneous Approach",7/10/2022,11/26/2021,Franc
303,Marybelle,Koles,mkoles8e@cpanel.net,Non-binary,3568783388709106,303,Marybelle Koles,41,M84652D,"Pathological fracture in other disease, left femur, subsequent encounter for fracture with routine healing",0RPA3AZ,"Removal of Interbody Fusion Device from Thoracolumbar Vertebral Joint, Percutaneous Approach",8/21/2021,5/3/2021,Euro
304,Hollie,Huckstepp,hhuckstepp8f@themeforest.net,Female,6331107922592027908,304,Hollie Huckstepp,61,M84332G,"Stress fracture, left ulna, subsequent encounter for fracture with delayed healing",0DTA0ZZ,"Resection of Jejunum, Open Approach",5/23/2020,2/6/2022,Peso
305,Launce,Halwell,lhalwell8g@huffingtonpost.com,Male,3552005254910768,305,Launce Halwell,52,S89101G,"Unspecified physeal fracture of lower end of right tibia, subsequent encounter for fracture with delayed healing",0FN87ZZ,"Release Cystic Duct, Via Natural or Artificial Opening",10/24/2020,4/16/2020,Dinar
306,Allayne,O'Hallagan,aohallagan8h@arstechnica.com,Male,5002355542378687,306,Allayne O'Hallagan,10,Y37000,"Military operations involving explosion of unspecified marine weapon, military personnel",0RWX43Z,"Revision of Infusion Device in Left Finger Phalangeal Joint, Percutaneous Endoscopic Approach",11/2/2022,12/28/2022,Euro
307,Carolin,Kalberer,ckalberer8i@skyrock.com,Female,3554145762848049,307,Carolin Kalberer,1,I63513,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle arteries,0NRD37Z,"Replacement of Left Sphenoid Bone with Autologous Tissue Substitute, Percutaneous Approach",3/6/2021,11/7/2020,Peso
308,Trever,Whibley,twhibley8j@weebly.com,Male,4041377040092,308,Trever Whibley,81,M05212,Rheumatoid vasculitis with rheumatoid arthritis of left shoulder,3E0CX0M,"Introduction of Monoclonal Antibody into Eye, External Approach",7/1/2022,8/5/2021,Real
309,Norma,Garwell,ngarwell8k@imageshack.us,Female,3551780357648090,309,Norma Garwell,44,H10411,"Chronic giant papillary conjunctivitis, right eye",6A750Z5,"Ultrasound Therapy of Heart, Single",4/28/2022,11/17/2022,Peso
310,Elwyn,Prigg,eprigg8l@list-manage.com,Male,3562141618780338,310,Elwyn Prigg,79,V8032,Occupant of animal-drawn vehicle injured in collision with two- or three-wheeled motor vehicle,0CBM7ZX,"Excision of Pharynx, Via Natural or Artificial Opening, Diagnostic",7/6/2020,7/29/2020,Lek
311,Maribelle,Yea,myea8m@goo.gl,Female,676381371954154218,311,Maribelle Yea,86,H4942,"Progressive external ophthalmoplegia, left eye",027F04Z,"Dilation of Aortic Valve with Drug-eluting Intraluminal Device, Open Approach",8/22/2021,4/16/2022,Rupiah
312,Elisabet,Chedgey,echedgey8n@bloomberg.com,Female,5893533262574546318,312,Elisabet Chedgey,60,S42335B,"Nondisplaced oblique fracture of shaft of humerus, left arm, initial encounter for open fracture",0D15474,"Bypass Esophagus to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",6/16/2020,12/18/2022,Euro
313,Colver,Espino,cespino8o@smugmug.com,Bigender,337941619267122,313,Colver Espino,28,S36299S,"Other injury of unspecified part of pancreas, sequela",041D4K9,"Bypass Left Common Iliac Artery to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",4/25/2021,5/1/2020,Hryvnia
314,Karney,Hasnip,khasnip8p@seesaa.net,Male,5010123983335255,314,Karney Hasnip,18,S8253XK,"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for closed fracture with nonunion",0D5K4ZZ,"Destruction of Ascending Colon, Percutaneous Endoscopic Approach",5/20/2020,7/13/2022,Afghani
315,Althea,Kitlee,akitlee8q@foxnews.com,Female,633350022683522666,315,Althea Kitlee,6,C341,"Malignant neoplasm of upper lobe, bronchus or lung",0QHH34Z,"Insertion of Internal Fixation Device into Left Tibia, Percutaneous Approach",11/21/2022,7/29/2022,Bolivar
316,Daron,Holligan,dholligan8r@gnu.org,Male,6385576483234036,316,Daron Holligan,70,S52124A,"Nondisplaced fracture of head of right radius, initial encounter for closed fracture",D9012ZZ,Beam Radiation of Nose using Photons >10 MeV,4/23/2021,6/16/2022,Yuan Renminbi
317,Modesta,Gottschalk,mgottschalk8s@wired.com,Female,345650434339541,317,Modesta Gottschalk,60,S85109D,"Unspecified injury of unspecified tibial artery, unspecified leg, subsequent encounter",0RWM05Z,"Revision of External Fixation Device in Left Elbow Joint, Open Approach",10/8/2022,3/24/2020,Euro
318,Henrieta,Aronoff,haronoff8t@umn.edu,Female,3534869510014480,318,Henrieta Aronoff,65,T22661S,"Corrosion of second degree of right scapular region, sequela",041K09Q,"Bypass Right Femoral Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach",3/6/2021,11/26/2022,Franc
319,Elita,Redmain,eredmain8u@nba.com,Female,4844562200308667,319,Elita Redmain,112,S82045J,"Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",F06Z8SZ,Motor Speech Treatment using Voice Analysis Equipment,10/29/2021,4/3/2021,Hryvnia
320,Hephzibah,Fierro,hfierro8v@illinois.edu,Female,67613477397314350,320,Hephzibah Fierro,2,S63072D,"Subluxation of distal end of left ulna, subsequent encounter",0SG14Z1,"Fusion of 2 or more Lumbar Vertebral Joints, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach",1/18/2020,7/22/2020,Yuan Renminbi
321,Angelika,Vittore,avittore8w@squidoo.com,Female,633350868104764323,321,Angelika Vittore,116,M1129,"Other chondrocalcinosis, multiple sites",07QL3ZZ,"Repair Cisterna Chyli, Percutaneous Approach",10/17/2020,8/13/2020,Yuan Renminbi
322,Jonathon,Posthill,jposthill8x@ucla.edu,Male,374288889305560,322,Jonathon Posthill,94,M24422,"Recurrent dislocation, left elbow",0RWT38Z,"Revision of Spacer in Left Metacarpocarpal Joint, Percutaneous Approach",5/31/2022,6/20/2021,Rupiah
323,Sisile,Stemp,sstemp8y@answers.com,Female,3543527053867040,323,Sisile Stemp,36,O418X94,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 4",0B780DZ,"Dilation of Left Upper Lobe Bronchus with Intraluminal Device, Open Approach",3/12/2021,9/5/2021,Peso
324,Parker,Lucius,plucius8z@nytimes.com,Male,5100148903486210,324,Parker Lucius,32,S60411A,"Abrasion of left index finger, initial encounter",0F5F0ZZ,"Destruction of Accessory Pancreatic Duct, Open Approach",1/13/2022,3/18/2020,Rupiah
325,Kalinda,McCook,kmccook90@nasa.gov,Female,67717928353623916,325,Kalinda McCook,115,D700,Congenital agranulocytosis,B412110,"Fluoroscopy of Hepatic Artery using Low Osmolar Contrast, Laser Intraoperative",6/29/2022,3/15/2022,Yen
326,Junia,Rubinfajn,jrubinfajn91@issuu.com,Female,3573455092057519,326,Junia Rubinfajn,59,Z637,Other stressful life events affecting family and household,0FN80ZZ,"Release Cystic Duct, Open Approach",1/8/2021,2/11/2021,Euro
327,Zelda,Grunwald,zgrunwald92@loc.gov,Female,374288857836877,327,Zelda Grunwald,66,Z96659,Presence of unspecified artificial knee joint,01D23ZZ,"Extraction of Phrenic Nerve, Percutaneous Approach",11/1/2020,2/9/2022,Zloty
328,Lev,Soppett,lsoppett93@skyrock.com,Male,30498718966161,328,Lev Soppett,56,T361X1S,"Poisoning by cephalosporins and other beta-lactam antibiotics, accidental (unintentional), sequela",03970ZX,"Drainage of Right Brachial Artery, Open Approach, Diagnostic",4/8/2021,10/22/2022,Rupiah
329,Aldous,Walter,awalter94@nps.gov,Male,4405519726874698,329,Aldous Walter,93,E093311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",0THB0LZ,"Insertion of Artificial Sphincter into Bladder, Open Approach",7/6/2020,2/23/2021,Euro
330,Thomas,Rubinsaft,trubinsaft95@reference.com,Male,374283667911978,330,Thomas Rubinsaft,58,A209,"Plague, unspecified",0B5F8ZZ,"Destruction of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic",6/8/2021,10/2/2020,Ruble
331,Lauree,Dannohl,ldannohl96@clickbank.net,Female,201763772151312,331,Lauree Dannohl,19,G63,Polyneuropathy in diseases classified elsewhere,30233Q0,"Transfusion of Autologous White Cells into Peripheral Vein, Percutaneous Approach",3/29/2021,9/22/2022,Ruble
332,Ricca,Sherrocks,rsherrocks97@marriott.com,Female,6706874690516328322,332,Ricca Sherrocks,65,H7190,"Unspecified cholesteatoma, unspecified ear",06BT4ZZ,"Excision of Right Foot Vein, Percutaneous Endoscopic Approach",9/21/2021,10/4/2020,Ruble
333,Carlo,Worsnup,cworsnup98@huffingtonpost.com,Male,3532609205699779,333,Carlo Worsnup,54,W1789,Other fall from one level to another,099S3ZZ,"Drainage of Right Frontal Sinus, Percutaneous Approach",6/1/2020,11/4/2021,Shilling
334,Lion,Hauger,lhauger99@amazon.com,Male,56022158153641560,334,Lion Hauger,22,S42132S,"Displaced fracture of coracoid process, left shoulder, sequela",0DP60CZ,"Removal of Extraluminal Device from Stomach, Open Approach",7/5/2021,10/18/2021,Euro
335,Ardelle,Alenichicov,aalenichicov9a@pbs.org,Female,6378466708493394,335,Ardelle Alenichicov,94,W1831,Fall on same level due to stepping on an object,00SX3ZZ,"Reposition Thoracic Spinal Cord, Percutaneous Approach",6/27/2020,6/9/2022,Dollar
336,Lynnette,Chancelier,lchancelier9b@chicagotribune.com,Female,5170124131976228,336,Lynnette Chancelier,60,S62657G,"Nondisplaced fracture of medial phalanx of left little finger, subsequent encounter for fracture with delayed healing",0PHM34Z,"Insertion of Internal Fixation Device into Right Carpal, Percutaneous Approach",8/22/2021,8/20/2020,Ringgit
337,Alleen,Phelan,aphelan9c@mysql.com,Female,3529850534077031,337,Alleen Phelan,60,V0192XD,"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter",0JX00ZB,"Transfer Scalp Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach",6/23/2021,6/25/2022,Krona
338,Nev,Skewes,nskewes9d@freewebs.com,Male,6759033826313740130,338,Nev Skewes,55,V465XXA,"Car driver injured in collision with other nonmotor vehicle in traffic accident, initial encounter",D7040ZZ,Beam Radiation of Axillary Lymphatics using Photons <1 MeV,6/26/2020,12/18/2020,Franc
339,Lesley,Pollicote,lpollicote9e@shinystat.com,Male,5353902508571329,339,Lesley Pollicote,118,S62354D,"Nondisplaced fracture of shaft of fourth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",041D4JJ,"Bypass Left Common Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",12/21/2021,8/11/2022,Yuan Renminbi
340,Consalve,Carrabot,ccarrabot9f@merriam-webster.com,Male,3545791265595421,340,Consalve Carrabot,88,S1240,Unspecified fracture of fifth cervical vertebra,0RWF0KZ,"Revision of Nonautologous Tissue Substitute in Left Sternoclavicular Joint, Open Approach",4/6/2021,8/16/2021,Dinar
341,Bronny,MacKean,bmackean9g@baidu.com,Male,3570715790635368,341,Bronny MacKean,50,S27339A,"Laceration of lung, unspecified, initial encounter",0RBD0ZX,"Excision of Left Temporomandibular Joint, Open Approach, Diagnostic",6/14/2022,4/19/2020,Ruble
342,Hercules,Kneel,hkneel9h@wired.com,Male,5602252446597617,342,Hercules Kneel,28,T498X4,"Poisoning by other topical agents, undetermined",04V24DZ,"Restriction of Gastric Artery with Intraluminal Device, Percutaneous Endoscopic Approach",4/4/2022,6/20/2022,Peso
343,Tymon,Derell,tderell9i@slideshare.net,Male,3534539046248668,343,Tymon Derell,64,S48929D,"Partial traumatic amputation of unspecified shoulder and upper arm, level unspecified, subsequent encounter",039K30Z,"Drainage of Right Internal Carotid Artery with Drainage Device, Percutaneous Approach",6/29/2022,12/5/2021,Dollar
344,Carri,Oxtaby,coxtaby9j@icio.us,Female,5366288440460374,344,Carri Oxtaby,107,T24491A,"Corrosion of unspecified degree of multiple sites of right lower limb, except ankle and foot, initial encounter",D92BHZZ,Stereotactic Particulate Radiosurgery of Larynx,11/18/2021,10/24/2020,Krona
345,Skipton,Joannet,sjoannet9k@artisteer.com,Male,5602257030927583,345,Skipton Joannet,36,I80212,Phlebitis and thrombophlebitis of left iliac vein,BQ2,"Imaging, Non-Axial Lower Bones, Computerized Tomography (CT Scan)",10/28/2021,12/3/2022,Krona
346,Shelli,Petroselli,spetroselli9l@sakura.ne.jp,Female,3574309131225430,346,Shelli Petroselli,93,C50621,Malignant neoplasm of axillary tail of right male breast,0DHR3MZ,"Insertion of Stimulator Lead into Anal Sphincter, Percutaneous Approach",7/26/2020,1/19/2021,Krona
347,Wilow,Tenniswood,wtenniswood9m@mayoclinic.com,Female,4905492678078020,347,Wilow Tenniswood,83,T442X,"Poisoning by, adverse effect of and underdosing of ganglionic blocking drugs",0VU5XKZ,"Supplement Scrotum with Nonautologous Tissue Substitute, External Approach",12/5/2021,5/23/2020,Quetzal
348,Rogerio,Lagde,rlagde9n@cdbaby.com,Male,4913268662687889,348,Rogerio Lagde,81,S65506A,"Unspecified injury of blood vessel of right little finger, initial encounter",0RP60JZ,"Removal of Synthetic Substitute from Thoracic Vertebral Joint, Open Approach",12/20/2020,10/6/2022,Rupiah
349,Edwin,Tyght,etyght9o@reverbnation.com,Male,30406178372424,349,Edwin Tyght,90,S1234XA,"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",0B9K4ZX,"Drainage of Right Lung, Percutaneous Endoscopic Approach, Diagnostic",7/13/2022,3/1/2021,Euro
350,Carena,Cadlock,ccadlock9p@si.edu,Female,676311539515186946,350,Carena Cadlock,40,T24319D,"Burn of third degree of unspecified thigh, subsequent encounter",0KM,"Muscles, Reattachment",7/19/2022,3/21/2022,Peso
351,Tedi,Leynham,tleynham9q@pbs.org,Agender,5562281414508502,351,Tedi Leynham,14,T373X2S,"Poisoning by other antiprotozoal drugs, intentional self-harm, sequela",0PWR05Z,"Revision of External Fixation Device in Right Thumb Phalanx, Open Approach",12/20/2020,4/14/2021,Yuan Renminbi
352,Jessie,Worters,jworters9r@1688.com,Male,370927273824090,352,Jessie Worters,102,C8525,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb",DG12B8Z,Low Dose Rate (LDR) Brachytherapy of Adrenal Glands using Iridium 192 (Ir-192),6/11/2020,3/8/2021,Peso
353,Derk,Sharman,dsharman9s@globo.com,Male,3548745106092904,353,Derk Sharman,75,S62035D,"Nondisplaced fracture of proximal third of navicular [scaphoid] bone of left wrist, subsequent encounter for fracture with routine healing",0UWD7KZ,"Revision of Nonautologous Tissue Substitute in Uterus and Cervix, Via Natural or Artificial Opening",9/22/2022,5/14/2021,Yuan Renminbi
354,Casey,MacMichael,cmacmichael9t@ucla.edu,Female,4017951128474639,354,Casey MacMichael,79,S82144,Nondisplaced bicondylar fracture of right tibia,0L5V3ZZ,"Destruction of Right Foot Tendon, Percutaneous Approach",3/10/2021,12/25/2022,Sol
355,Evyn,Pendlenton,ependlenton9u@europa.eu,Male,4405820124779988,355,Evyn Pendlenton,63,D226,"Melanocytic nevi of upper limb, including shoulder",0RWW37Z,"Revision of Autologous Tissue Substitute in Right Finger Phalangeal Joint, Percutaneous Approach",2/17/2020,4/24/2022,Yuan Renminbi
356,Claudianus,Peddowe,cpeddowe9v@storify.com,Male,3565486364359382,356,Claudianus Peddowe,94,S82301S,"Unspecified fracture of lower end of right tibia, sequela",DD056ZZ,Beam Radiation of Colon using Neutron Capture,11/19/2021,6/19/2022,Yuan Renminbi
357,Bendix,Kerbey,bkerbey9w@webnode.com,Male,30499567770456,357,Bendix Kerbey,83,S88012D,"Complete traumatic amputation at knee level, left lower leg, subsequent encounter",0RJE3ZZ,"Inspection of Right Sternoclavicular Joint, Percutaneous Approach",3/3/2021,7/27/2022,Ruble
358,Barri,Mack,bmack9x@wisc.edu,Male,30577750755457,358,Barri Mack,85,Q75,Other congenital malformations of skull and face bones,B32T0ZZ,Computerized Tomography (CT Scan) of Left Pulmonary Artery using High Osmolar Contrast,6/24/2020,2/26/2022,Rupiah
359,Brit,Ferriere,bferriere9y@mozilla.com,Male,3537470794912106,359,Brit Ferriere,76,S5520,Unspecified injury of vein at forearm level,06H90DZ,"Insertion of Intraluminal Device into Right Renal Vein, Open Approach",8/10/2020,4/27/2022,Rupiah
360,Georgie,Golde,ggolde9z@photobucket.com,Male,201522553070558,360,Georgie Golde,75,R29707,NIHSS score 7,0F923ZZ,"Drainage of Left Lobe Liver, Percutaneous Approach",4/12/2020,1/25/2021,Rand
361,Kippie,Barns,kbarnsa0@mapy.cz,Female,3589276694260539,361,Kippie Barns,80,V9008XS,"Drowning and submersion due to other unpowered watercraft overturning, sequela",03VJ4CZ,"Restriction of Left Common Carotid Artery with Extraluminal Device, Percutaneous Endoscopic Approach",7/11/2022,3/27/2022,Rupiah
362,Adan,Soot,asoota1@gnu.org,Male,5602217290653907,362,Adan Soot,31,Z780,Asymptomatic menopausal state,0BW187Z,"Revision of Autologous Tissue Substitute in Trachea, Via Natural or Artificial Opening Endoscopic",6/11/2020,3/27/2020,Euro
363,Merci,Whiston,mwhistona2@about.com,Female,63045578280444258,363,Merci Whiston,19,T415X3,"Poisoning by therapeutic gases, assault",037M0FZ,"Dilation of Right External Carotid Artery with Three Intraluminal Devices, Open Approach",8/5/2021,12/16/2021,Rupee
364,Ann,Begley,abegleya3@fotki.com,Female,6380463713169925,364,Ann Begley,101,S37532A,"Laceration of fallopian tube, bilateral, initial encounter",05BV4ZZ,"Excision of Left Face Vein, Percutaneous Endoscopic Approach",6/13/2021,9/10/2022,Nakfa
365,Beau,Thompsett,bthompsetta4@globo.com,Male,3588856217481414,365,Beau Thompsett,107,H31323,"Choroidal rupture, bilateral",0RWS34Z,"Revision of Internal Fixation Device in Right Metacarpocarpal Joint, Percutaneous Approach",3/26/2020,12/3/2020,Dinar
366,Saxe,Vakhrushin,svakhrushina5@craigslist.org,Male,3559335376265939,366,Saxe Vakhrushin,96,S06319,Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration,0WWK41Z,"Revision of Radioactive Element in Upper Back, Percutaneous Endoscopic Approach",1/27/2020,1/30/2022,Peso
367,Daniele,Petrolli,dpetrollia6@newyorker.com,Genderfluid,3560559264149908,367,Daniele Petrolli,76,M1A33,"Chronic gout due to renal impairment, wrist",0SG73KZ,"Fusion of Right Sacroiliac Joint with Nonautologous Tissue Substitute, Percutaneous Approach",12/18/2022,3/25/2021,Yuan Renminbi
368,Elnore,Robbert,erobberta7@ebay.com,Female,6767058874411032409,368,Elnore Robbert,55,T675XXS,"Heat exhaustion, unspecified, sequela",10D18ZZ,"Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic",5/12/2020,6/24/2021,Rupiah
369,Carmelina,Blodget,cblodgeta8@ehow.com,Female,5350632920554040,369,Carmelina Blodget,60,S52532B,"Colles' fracture of left radius, initial encounter for open fracture type I or II",0NS504Z,"Reposition Right Temporal Bone with Internal Fixation Device, Open Approach",1/21/2021,8/3/2021,Euro
370,Suzie,Shayes,sshayesa9@e-recht24.de,Female,6385340361106802,370,Suzie Shayes,28,S62333B,"Displaced fracture of neck of third metacarpal bone, left hand, initial encounter for open fracture",BD49ZZZ,Ultrasonography of Duodenum,7/9/2020,3/20/2020,Sol
371,Tilda,Petrasek,tpetrasekaa@independent.co.uk,Female,3558501276686281,371,Tilda Petrasek,74,Y35102D,"Legal intervention involving unspecified explosives, bystander injured, subsequent encounter",0LU00JZ,"Supplement Head and Neck Tendon with Synthetic Substitute, Open Approach",6/22/2021,4/16/2020,Lempira
372,Moishe,Marchello,mmarchelloab@blogger.com,Genderqueer,3558365585932806,372,Moishe Marchello,9,H2632,"Drug-induced cataract, left eye",0DHA33Z,"Insertion of Infusion Device into Jejunum, Percutaneous Approach",3/6/2022,12/12/2021,Sol
373,Ximenes,Geraldi,xgeraldiac@squarespace.com,Male,3574958509766746,373,Ximenes Geraldi,67,H3551,Vitreoretinal dystrophy,06HY03Z,"Insertion of Infusion Device into Lower Vein, Open Approach",5/23/2021,8/15/2020,Ruble
374,Scott,Caslett,scaslettad@java.com,Male,5610096627000382,374,Scott Caslett,61,T24309A,"Burn of third degree of unspecified site of unspecified lower limb, except ankle and foot, initial encounter",0KUG4JZ,"Supplement Left Trunk Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach",3/19/2021,4/6/2020,Yuan Renminbi
375,Hansiain,Metschke,hmetschkeae@ucoz.com,Male,5499418702690422,375,Hansiain Metschke,4,S42325D,"Nondisplaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing",0VPM0CZ,"Removal of Extraluminal Device from Epididymis and Spermatic Cord, Open Approach",1/1/2021,5/30/2022,Rupiah
376,Stephen,Sallarie,ssallarieaf@mtv.com,Male,3585817080166964,376,Stephen Sallarie,71,S32011K,"Stable burst fracture of first lumbar vertebra, subsequent encounter for fracture with nonunion",067B0ZZ,"Dilation of Left Renal Vein, Open Approach",6/24/2022,10/25/2021,Peso
377,Cyrill,Rzehor,crzehorag@blinklist.com,Male,5602252564685277,377,Cyrill Rzehor,78,S1182XS,"Laceration with foreign body of other specified part of neck, sequela",B50PYZZ,Plain Radiography of Bilateral Upper Extremity Veins using Other Contrast,6/23/2022,10/29/2021,Peso
378,Jackie,Winton,jwintonah@com.com,Female,6762785406555053,378,Jackie Winton,22,T8623,Heart transplant infection,067Q0ZZ,"Dilation of Left Greater Saphenous Vein, Open Approach",10/5/2022,6/16/2022,Rupiah
